,id,ans
0,10545,1
1,10546,0
2,10547,1
3,10548,0
4,10549,0
5,10550,0
6,10551,1
7,10552,0
8,10553,1
9,10554,0
10,10555,1
11,10556,0
12,10557,0
13,10558,0
14,10559,1
15,10560,0
16,10561,0
17,10562,0
18,10563,1
19,10564,0
20,10565,1
21,10566,1
22,10567,0
23,10568,0
24,10569,1
25,10570,0
26,10571,0
27,10572,1
28,10573,1
29,10574,1
30,10575,0
31,10576,0
32,10577,0
33,10578,1
34,10579,1
35,10580,1
36,10581,0
37,10582,0
38,10583,0
39,10584,0
40,10585,1
41,10586,0
42,10587,0
43,10588,1
44,10589,1
45,10590,1
46,10591,1
47,10592,0
48,10593,0
49,10594,0
50,10595,0
51,10596,0
52,10597,1
53,10598,0
54,10599,0
55,10600,0
56,10601,1
57,10602,0
58,10603,1
59,10604,1
60,10605,0
61,10606,1
62,10607,0
63,10608,1
64,10609,0
65,10610,0
66,10611,0
67,10612,0
68,10613,0
69,10614,0
70,10615,1
71,10616,1
72,10617,0
73,10618,0
74,10619,0
75,10620,1
76,10621,1
77,10622,0
78,10623,1
79,10624,1
80,10625,1
81,10626,0
82,10627,0
83,10628,1
84,10629,0
85,10630,1
86,10631,1
87,10632,0
88,10633,0
89,10634,0
90,10635,0
91,10636,1
92,10637,0
93,10638,0
94,10639,0
95,10640,1
96,10641,1
97,10642,0
98,10643,1
99,10644,1
100,10645,1
101,10646,0
102,10647,1
103,10648,0
104,10649,0
105,10650,0
106,10651,0
107,10652,1
108,10653,1
109,10654,0
110,10655,0
111,10656,0
112,10657,0
113,10658,0
114,10659,1
115,10660,1
116,10661,0
117,10662,1
118,10663,0
119,10664,0
120,10665,0
121,10666,0
122,10667,1
123,10668,0
124,10669,0
125,10670,1
126,10671,0
127,10672,0
128,10673,1
129,10674,1
130,10675,0
131,10676,1
132,10677,0
133,10678,0
134,10679,1
135,10680,0
136,10681,1
137,10682,1
138,10683,0
139,10684,0
140,10685,0
141,10686,0
142,10687,0
143,10688,1
144,10689,1
145,10690,0
146,10691,1
147,10692,0
148,10693,0
149,10694,0
150,10695,0
151,10696,0
152,10697,0
153,10698,1
154,10699,1
155,10700,1
156,10701,0
157,10702,0
158,10703,1
159,10704,0
160,10705,1
161,10706,1
162,10707,1
163,10708,0
164,10709,1
165,10710,0
166,10711,1
167,10712,0
168,10713,1
169,10714,0
170,10715,1
171,10716,0
172,10717,0
173,10718,1
174,10719,1
175,10720,1
176,10721,1
177,10722,0
178,10723,0
179,10724,0
180,10725,0
181,10726,0
182,10727,1
183,10728,1
184,10729,0
185,10730,0
186,10731,1
187,10732,1
188,10733,0
189,10734,0
190,10735,0
191,10736,1
192,10737,0
193,10738,1
194,10739,0
195,10740,0
196,10741,0
197,10742,0
198,10743,0
199,10744,1
200,10745,0
201,10746,0
202,10747,0
203,10748,1
204,10749,0
205,10750,0
206,10751,1
207,10752,1
208,10753,0
209,10754,0
210,10755,1
211,10756,1
212,10757,0
213,10758,1
214,10759,1
215,10760,0
216,10761,1
217,10762,0
218,10763,1
219,10764,1
220,10765,0
221,10766,1
222,10767,1
223,10768,1
224,10769,1
225,10770,1
226,10771,1
227,10772,1
228,10773,0
229,10774,1
230,10775,0
231,10776,0
232,10777,1
233,10778,1
234,10779,1
235,10780,0
236,10781,0
237,10782,1
238,10783,1
239,10784,1
240,10785,0
241,10786,0
242,10787,1
243,10788,0
244,10789,0
245,10790,1
246,10791,1
247,10792,1
248,10793,1
249,10794,0
250,10795,0
251,10796,1
252,10797,1
253,10798,0
254,10799,1
255,10800,0
256,10801,0
257,10802,1
258,10803,1
259,10804,0
260,10805,0
261,10806,1
262,10807,1
263,10808,1
264,10809,0
265,10810,1
266,10811,1
267,10812,1
268,10813,1
269,10814,0
270,10815,0
271,10816,0
272,10817,0
273,10818,0
274,10819,0
275,10820,0
276,10821,1
277,10822,0
278,10823,0
279,10824,1
280,10825,0
281,10826,0
282,10827,0
283,10828,0
284,10829,1
285,10830,0
286,10831,1
287,10832,0
288,10833,1
289,10834,0
290,10835,0
291,10836,1
292,10837,1
293,10838,0
294,10839,1
295,10840,1
296,10841,0
297,10842,1
298,10843,1
299,10844,0
300,10845,1
301,10846,1
302,10847,1
303,10848,0
304,10849,0
305,10850,1
306,10851,0
307,10852,1
308,10853,1
309,10854,0
310,10855,0
311,10856,0
312,10857,0
313,10858,0
314,10859,1
315,10860,1
316,10861,1
317,10862,0
318,10863,0
319,10864,1
320,10865,1
321,10866,1
322,10867,1
323,10868,1
324,10869,1
325,10870,1
326,10871,1
327,10872,1
328,10873,0
329,10874,0
330,10875,1
331,10876,1
332,10877,0
333,10878,1
334,10879,0
335,10880,1
336,10881,0
337,10882,0
338,10883,0
339,10884,1
340,10885,1
341,10886,0
342,10887,0
343,10888,0
344,10889,0
345,10890,0
346,10891,0
347,10892,1
348,10893,1
349,10894,1
350,10895,0
351,10896,1
352,10897,1
353,10898,0
354,10899,0
355,10900,1
356,10901,1
357,10902,0
358,10903,1
359,10904,1
360,10905,0
361,10906,1
362,10907,1
363,10908,1
364,10909,0
365,10910,0
366,10911,1
367,10912,0
368,10913,0
369,10914,1
370,10915,0
371,10916,1
372,10917,0
373,10918,1
374,10919,0
375,10920,0
376,10921,1
377,10922,1
378,10923,0
379,10924,1
380,10925,1
381,10926,1
382,10927,1
383,10928,0
384,10929,1
385,10930,0
