0,1,2,3,4,5,6,7,8,9,10
0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.995
0.0,0.02,0.03,0.0,0.005,0.01,0.0,0.025,0.81,0.0,0.1
0.0,0.13,0.02,0.21,0.0,0.0,0.005,0.22,0.26,0.005,0.15
0.0,0.005,0.0,0.0,0.0,0.005,0.0,0.0,0.01,0.0,0.98
0.0,0.025,0.0,0.755,0.005,0.01,0.0,0.045,0.135,0.0,0.025
0.0,0.065,0.005,0.025,0.0,0.005,0.0,0.03,0.495,0.0,0.375
0.005,0.02,0.28,0.01,0.0,0.01,0.005,0.195,0.03,0.0,0.445
0.0,0.53,0.03,0.005,0.0,0.0,0.0,0.05,0.16,0.0,0.225
0.0,0.0,0.005,0.04,0.0,0.01,0.005,0.875,0.04,0.0,0.025
0.0,0.49,0.035,0.02,0.0,0.0,0.0,0.07,0.17,0.0,0.215
0.0,0.005,0.005,0.02,0.005,0.01,0.03,0.305,0.505,0.0,0.115
0.0,0.02,0.02,0.015,0.025,0.025,0.0,0.65,0.185,0.0,0.06
0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.965,0.0,0.03
0.0,0.015,0.07,0.01,0.0,0.02,0.0,0.0,0.045,0.0,0.84
0.0,0.025,0.015,0.01,0.0,0.01,0.005,0.025,0.795,0.0,0.115
0.0,0.07,0.0,0.005,0.005,0.0,0.0,0.005,0.005,0.0,0.91
0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.005,0.0,0.99
0.0,0.09,0.035,0.045,0.0,0.035,0.01,0.1,0.31,0.0,0.375
0.0,0.005,0.0,0.015,0.0,0.0,0.0,0.005,0.865,0.0,0.11
0.0,0.0,0.025,0.035,0.005,0.01,0.015,0.37,0.405,0.0,0.135
0.005,0.055,0.01,0.0,0.0,0.0,0.005,0.0,0.015,0.9,0.01
0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.005,0.045,0.0,0.94
0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.975
